gene_name,ENTREZID
Zm00001d006372,542584
Zm00001d039520,542585
Zm00001d031961,542586
Zm00001d042104,542587
Zm00001d038851,542588
Zm00001d011314,542589
Zm00001d003776,542590
Zm00001d036356,542591
Zm00001d033174,542592
Zm00001d038378,542595
Zm00001d049952,542596
Zm00001d047117,542597
Zm00001d032695,542598
Zm00001d000021,542599
Zm00001d038376,542600
Zm00001d022042,542601
Zm00001d052194,542602
Zm00001d022274,542603
Zm00001d041819,542605
Zm00001d029074,542606
Zm00001d021070,542607
Zm00001d041682,542608
Zm00001d044495,542609
Zm00001d039908,542610
Zm00001d039496,542611
Zm00001d002843,542612
Zm00001d053239,542617
Zm00001d053899,542618
Zm00001d003006,542619
Zm00001d037873,542620
Zm00001d025721,542621
Zm00001d005649,542622
Zm00001d000392,542623
Zm00001d019149,542624
Zm00001d020424,542626
Zm00001d050265,542627
Zm00001d029978,542628
Zm00001d048354,542629
Zm00001d010870,542630
Zm00001d024963,542631
Zm00001d011154,542632
Zm00001d042095,542633
Zm00001d029696,542634
Zm00001d011139,542636
Zm00001d007951,542637
Zm00001d033112,542638
Zm00001d049499,542639
Zm00001d006899,542640
Zm00001d011741,542641
Zm00001d038060,542642
Zm00001d018037,542643
Zm00001d005421,542644
Zm00001d028951,542646
Zm00001d039293,542647
Zm00001d018031,542648
Zm00001d029906,542649
Zm00001d020970,542650
Zm00001d008651,542651
Zm00001d035597,542653
Zm00001d016935,542654
Zm00001d053900,542656
Zm00001d021433,542658
Zm00001d047636,542659
Zm00001d024821,542661
Zm00001d020038,542662
Zm00001d015618,542663
Zm00001d021737,542664
Zm00001d020941,542666
Zm00001d009554,542667
Zm00001d026088,542668
Zm00001d050868,542670
Zm00001d008489,542671
Zm00001d027486,542672
Zm00001d046781,542673
Zm00001d051012,542675
Zm00001d002434,542676
Zm00001d003679,542678
Zm00001d020666,542680
Zm00001d044291,542681
Zm00001d040696,542682
Zm00001d013694,542683
Zm00001d013269,542684
Zm00001d032776,542685
Zm00001d012394,542686
Zm00001d028733,542687
Zm00001d024207,542688
Zm00001d024477,542689
Zm00001d017139,542690
Zm00001d004477,542693
Zm00001d048584,542694
Zm00001d018627,542695
Zm00001d034520,542696
Zm00001d031992,542697
Zm00001d025690,542698
Zm00001d035440,542700
Zm00001d016446,542701
Zm00001d039670,542702
Zm00001d053016,542703
Zm00001d034457,542704
Zm00001d046996,542705
Zm00001d049020,542706
Zm00001d032789,542707
Zm00001d005535,542708
Zm00001d051465,542709
Zm00001d022388,542710
Zm00001d012036,542711
Zm00001d001960,542712
Zm00001d034345,542713
Zm00001d011183,542714
Zm00001d044228,542715
Zm00001d007267,542716
Zm00001d040173,542717
Zm00001d035156,542718
Zm00001d035087,542719
Zm00001d031158,542720
Zm00001d013428,542721
Zm00001d029170,542722
Zm00001d039566,542723
Zm00001d031168,542725
Zm00001d049666,542726
Zm00001d045450,542727
Zm00001d008548,542729
Zm00001d019283,542732
Zm00001d003157,542733
Zm00001d034356,542734
Zm00001d019669,542735
Zm00001d014090,542736
Zm00001d039131,542737
Zm00001d038467,542738
Zm00001d018573,542739
Zm00001d043344,542740
Zm00001d016237,542741
Zm00001d044415,542743
Zm00001d032502,542744
Zm00001d044138,542745
Zm00001d039518,542747
Zm00001d048583,542748
Zm00001d037211,542749
Zm00001d037422,542750
Zm00001d031073,542751
Zm00001d024615,542752
Zm00001d042044,542753
Zm00001d024478,542754
Zm00001d043153,542756
Zm00001d044802,542758
Zm00001d038163,542759
Zm00001d044129,542761
Zm00001d014773,542762
Zm00001d026642,542763
Zm00001d037859,542764
Zm00001d050915,542765
Zm00001d048585,542766
Zm00001d032637,606398
Zm00001d051308,606399
Zm00001d028931,606403
Zm00001d047582,606405
Zm00001d046005,606406
Zm00001d004812,606407
Zm00001d040695,606408
Zm00001d049099,606409
Zm00001d007301,606410
Zm00001d054106,606411
Zm00001d040766,606413
Zm00001d037590,606414
Zm00001d028726,606415
Zm00001d003654,606416
Zm00001d006512,606417
Zm00001d045218,606418
Zm00001d021596,606419
Zm00001d052215,606420
Zm00001d032303,606421
Zm00001d023853,606422
Zm00001d034525,606423
Zm00001d038927,606424
Zm00001d006211,606425
Zm00001d021288,606426
Zm00001d051156,606427
Zm00001d017270,606428
Zm00001d003068,606429
Zm00001d019060,606430
Zm00001d031300,606431
Zm00001d008403,606433
Zm00001d046126,606435
Zm00001d041791,606437
Zm00001d031463,606438
Zm00001d053112,606439
Zm00001d032732,606440
Zm00001d018149,606441
Zm00001d054060,606442
Zm00001d032257,606443
Zm00001d015356,606444
Zm00001d008250,606445
Zm00001d014525,606446
Zm00001d009539,606448
Zm00001d042117,606449
Zm00001d038653,606450
Zm00001d003556,606453
Zm00001d042848,606456
Zm00001d033929,606457
Zm00001d034212,606458
Zm00001d019148,606461
Zm00001d019163,606463
Zm00001d037480,606464
Zm00001d034237,606465
Zm00001d043986,606466
Zm00001d033980,606468
Zm00001d018727,606469
Zm00001d037687,606470
Zm00001d012834,606471
Zm00001d034871,606472
Zm00001d021961,606473
Zm00001d053622,606475
Zm00001d018099,606476
Zm00001d037289,606477
Zm00001d025131,606478
Zm00001d020687,606479
Zm00001d041690,606481
Zm00001d013043,606482
Zm00001d018429,606483
Zm00001d038170,606484
Zm00001d052988,606485
Zm00001d002064,606486
Zm00001d019034,606487
Zm00001d018744,606488
Zm00001d028536,606722
Zm00001d022192,677667
Zm00001d048373,732715
Zm00001d038718,732720
Zm00001d039180,732721
Zm00001d031678,732723
Zm00001d000029,732724
Zm00001d033371,732725
Zm00001d044693,732726
Zm00001d038779,732727
Zm00001d015009,732728
Zm00001d026363,732729
Zm00001d039132,732730
Zm00001d018128,732735
Zm00001d028208,732737
Zm00001d033965,732738
Zm00001d042560,732739
Zm00001d036031,732740
Zm00001d023557,732742
